data_processamento,documento_id,pedido_id,origem,tipo_documento,numero_pedido,emitente_nome,emitente_cnpj,data_emissao,data_vencimento,valor_total,valor_total_centavos,forma_pagamento,qtd_itens,chave_acesso_nf,confianca,status_validacao,hash_conteudo,arquivo_origem,row_id_planilha
2026-09-25T20:31:51-03:00,doc_2a84297a0a9a7a2a891a08a3,ped_e7f094edaa158021,pdf,nf,1001,ALFA DISTRIBUIDORA DE PECAS LTDA,72973380000232,2026-03-13,2026-04-12,"250,00",25000,,3,35260372973380000232550010000010011968201250,0.95,OK,2a84297a0a9a7a2a891a08a352c22c235bc9d37369893fc18773d3c283389ad9,data\mocks\pdf\FORN-ALFA_nf_1001.pdf,2
2026-09-25T20:31:51-03:00,doc_927353e8228635307eb34d61,ped_5dbe9a7bb8d58009,pdf,nf,1002,ALFA DISTRIBUIDORA DE PECAS LTDA,72973380000232,2026-03-16,2026-04-15,"1141,00",114100,,2,35260372973380000232550010000010021761678683,0.95,OK,927353e8228635307eb34d61ab0b654d0e382c30fe09e1061ae7d21d57b624e7,data\mocks\pdf\FORN-ALFA_nf_1002.pdf,3
2026-09-25T20:31:51-03:00,doc_a2a6e8a844fb02d3f29e17df,ped_e3ed87df8ec9720d,pdf,nf,1003,ALFA DISTRIBUIDORA DE PECAS LTDA,72973380000232,2026-03-18,2026-04-17,"186,00",18600,,3,35260372973380000232550010000010031515936709,0.8026,CONFERIR,a2a6e8a844fb02d3f29e17df791500674a8f4248ca457210fad1ad508b7fd67d,data\mocks\pdf\FORN-ALFA_nf_1003.pdf,4
2026-09-25T20:31:51-03:00,doc_3a78be09a66e445567d74bd3,ped_303a7de4f43cf8e7,pdf,pedido,5001,ALFA DISTRIBUIDORA DE PECAS LTDA,72973380000232,2026-03-18,,"170,00",17000,prazo,2,NAO ENCONTRADO,0.9241,CONFERIR,3a78be09a66e445567d74bd31fe1b3bebd1a87b62812cca02aedf008f99b731b,data\mocks\pdf\FORN-ALFA_pedido_5001.pdf,5
2026-09-25T20:31:51-03:00,doc_12f66f550c6c57de43e15fe4,ped_1309d1ad11b1e431,pdf,nf,2001,BETA SUPRIMENTOS INDUSTRIAIS LTDA,49018909000166,2026-03-14,2026-04-13,"1855,00",185500,,3,35260349018909000166550010000020011289624986,0.95,OK,12f66f550c6c57de43e15fe4a5eabc1fb9ce017589f91649cc1148addfe973ba,data\mocks\pdf\FORN-BETA_nf_2001.pdf,6
2026-09-25T20:31:51-03:00,doc_48aa2828b7facf1969406c42,ped_486a9a0e09ceb402,pdf,nf,2002,BETA SUPRIMENTOS INDUSTRIAIS LTDA,49018909000166,2026-03-19,2026-04-18,"1748,40",174840,,2,35260349018909000166550010000020021488836301,0.95,CONFERIR,48aa2828b7facf1969406c42f7b884e8ef6610cb8ce2e0be8f84123ed1a5b24a,data\mocks\pdf\FORN-BETA_nf_2002.pdf,7
2026-09-25T20:31:51-03:00,doc_98f324a3112503ff5ea25aa2,ped_68d50496365ef308,pdf,nf,2003,BETA SUPRIMENTOS INDUSTRIAIS LTDA,49018909000166,2026-03-21,2026-04-20,"648,65",64865,,3,35260349018909000166550010000020031759670983,0.65,CONFERIR,98f324a3112503ff5ea25aa2e17add451c5867cde46fd7e98fb402cd397be238,data\mocks\pdf\FORN-BETA_nf_2003_escaneada.pdf,8
2026-09-25T20:31:51-03:00,doc_559224d4c08df3f6b6a8a8f8,ped_88923cf239ff0626,pdf,pedido,5002,BETA SUPRIMENTOS INDUSTRIAIS LTDA,49018909000166,2026-03-19,,"685,50",68550,prazo,2,NAO ENCONTRADO,0.9241,CONFERIR,559224d4c08df3f6b6a8a8f8d2cf029ebcfb27cd8b31212ee748512729a21790,data\mocks\pdf\FORN-BETA_pedido_5002.pdf,9
2026-09-25T20:31:51-03:00,doc_ee2892c32851fb24f9b996ac,ped_aae22d3eac78ac5a,pdf,nf,3001,GAMA COMERCIO DE FERRAMENTAS LTDA,91140832000169,2026-03-17,2026-04-16,"2546,00",254600,,4,35260391140832000169550010000030011024532750,0.95,OK,ee2892c32851fb24f9b996acffc183f38c96f17c3ba7bb4e84f03113184b2ca1,data\mocks\pdf\FORN-GAMA_nf_3001.pdf,10
2026-09-25T20:31:51-03:00,doc_e47865571c8617ff12a320e1,ped_d7a308443daa6e7f,pdf,nf,3002,GAMA COMERCIO DE FERRAMENTAS LTDA,91140832000169,2026-03-20,2026-04-19,,,,2,35260391140832000169550010000030021576152091,0.813,CONFERIR,e47865571c8617ff12a320e109b6a68c381ad5ab99f0386aeed35c3b7bfb1589,data\mocks\pdf\FORN-GAMA_nf_3002.pdf,11
2026-09-25T20:31:51-03:00,doc_8c0ff5cf30655a7763499fc7,ped_160e4a1cba592372,imagem,nf,3003,GAMA COMERCIO DE FERRAMENTAS LTDA,91140832000169,2026-03-22,2026-04-21,"463,00",46300,,2,35260391140832000169550010000030031571854907,0.65,CONFERIR,8c0ff5cf30655a7763499fc76a1829cbe9e54efe747503f32efee7aeb6633004,data\mocks\pdf\FORN-GAMA_nf_3003_foto.png,12
2026-09-25T20:31:51-03:00,doc_5a26b1ce39d161891370c5b1,ped_d401a093c47cda4c,pdf,pedido,5003,GAMA COMERCIO DE FERRAMENTAS LTDA,91140832000169,2026-03-20,,"830,80",83080,prazo,3,NAO ENCONTRADO,0.9241,CONFERIR,5a26b1ce39d161891370c5b1d43d85e24638d6ae06aec6b9e45e0bc31e6a5857,data\mocks\pdf\FORN-GAMA_pedido_5003.pdf,13
2026-09-25T20:31:51-03:00,doc_942335fd39c0432eba6bae42,ped_ef8a9ff0700b5546,whatsapp,pedido,5201,NAO ENCONTRADO,NAO ENCONTRADO,2026-03-18,,"250,00",25000,pix,0,NAO ENCONTRADO,0.4726,CONFERIR,942335fd39c0432eba6bae42fed7051014a9fb7468cb6b93dcea9fbbd6d45445,data\mocks\whatsapp\whatsapp_1.jsonl,14
2026-09-25T20:31:51-03:00,doc_9a7a407bd9d3075fc9da7ae6,ped_62943df79236dfb1,whatsapp,pedido,5202,NAO ENCONTRADO,NAO ENCONTRADO,NAO ENCONTRADO,,NAO ENCONTRADO,NAO ENCONTRADO,,0,NAO ENCONTRADO,0.0897,CONFERIR,9a7a407bd9d3075fc9da7ae6d38e479d14a713f6c73f9de24c500ef6bf5eaf89,data\mocks\whatsapp\whatsapp_2.jsonl,15
2026-09-25T20:31:51-03:00,doc_331f1c1fed671e48a467753e,ped_93a5f7f41f7bdc73,whatsapp,pedido,5203,NAO ENCONTRADO,NAO ENCONTRADO,2026-03-20,,"1480,00",148000,,0,NAO ENCONTRADO,0.4021,CONFERIR,331f1c1fed671e48a467753e583fe831536210a56dc8abea173c50ff83d9242d,data\mocks\whatsapp\whatsapp_3.jsonl,16
2026-09-25T20:31:51-03:00,doc_5097cd2fee16e54a39fafa91,ped_3b5c0f69c800d06f,whatsapp,pedido,5204,NAO ENCONTRADO,NAO ENCONTRADO,2026-03-24,,"986,50",98650,,0,NAO ENCONTRADO,0.4354,CONFERIR,5097cd2fee16e54a39fafa910b89cf4d60aabdff63434d411c9eb7c5b943fa6b,data\mocks\whatsapp\whatsapp_4.jsonl,17
